Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Lat,Lng
Latvia,48.45,11.77,31.26,38.37,42.1,51.65,56.879635,24.603189
Lebanon,69.62,24.81,48.61,66.83,54.25,35.12,33.854721,35.862285
Libya,48.35,12.89,31.73,54.03,34.1,33.25,26.3351,17.228331
Lithuania,45.65,15.01,31.29,36.18,46.64,58.74,55.169438,23.881275
Luxembourg,80.5,60.09,70.93,74.75,88.79,98.84,49.815273,6.129582999999999
Macao,66.81,43.0,55.65,67.9,51.32,69.27,22.198745,113.543873
Malaysia,37.02,9.87,24.29,39.45,20.84,55.3,4.210484,101.975766
Maldives,57.66,30.2,44.78,56.6,34.72,28.59,3.202778,73.22068
Malta,67.84,29.72,49.97,59.59,72.42,44.18,35.937496,14.375416
Mauritius,44.08,10.95,28.55,45.61,33.44,29.62,-20.348404,57.55215200000001
Mexico,35.35,12.55,24.66,34.82,32.67,38.62,23.634501,-102.552784
Moldova,30.35,8.7,20.2,24.96,27.1,33.43,47.411631,28.369885
Mongolia,34.74,11.22,23.72,36.14,22.8,24.34,46.862496,103.846656
Montenegro,38.95,12.87,26.72,31.76,33.22,34.19,42.708678,19.37439
Morocco,33.83,8.98,22.18,30.63,24.52,34.36,31.791702,-7.092619999999999
Myanmar,35.67,21.18,28.87,37.63,20.0,13.84,21.916221,95.955974
Nepal,28.29,3.96,16.89,26.45,20.41,22.96,28.394857,84.12400799999999
Netherlands,75.66,36.06,57.1,65.49,76.35,87.99,52.132633,5.291265999999999
New Zealand,74.52,34.44,55.73,72.04,70.05,83.63,-40.900557,174.885971
Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63,12.865416,-85.207229
Nigeria,30.49,35.99,33.07,33.65,20.92,9.34,9.081999,8.675277
North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44,41.608635,21.745275
Norway,100.9,34.68,69.86,97.31,105.49,83.11,60.47202399999999,8.468945999999999
Oman,49.42,16.77,34.11,46.51,43.24,84.24,21.4735329,55.975413
Pakistan,19.92,3.91,12.42,17.81,15.54,26.63,30.375321,69.34511599999999
Palestine,58.11,11.01,36.03,51.23,44.58,39.84,31.952162,35.233154
Panama,51.43,21.75,37.51,52.16,43.38,33.09,8.537981,-80.782127
Paraguay,30.2,10.04,20.75,25.45,24.19,26.08,-23.442503,-58.443832
Peru,32.53,11.22,22.54,30.71,21.53,28.17,-9.189967,-75.015152
Philippines,37.06,9.59,24.18,37.84,20.61,21.47,12.879721,121.774017
Poland,38.95,14.45,27.46,32.42,33.52,59.95,51.919438,19.145136
Portugal,47.94,20.73,35.19,39.01,40.26,46.8,39.39987199999999,-8.224454
Puerto Rico,66.53,18.4,43.97,69.6,55.6,72.78,18.220833,-66.590149
Qatar,62.81,48.2,55.96,54.97,63.01,93.67,25.354826,51.183884
Romania,35.24,10.17,23.49,31.38,30.02,48.12,45.943161,24.96676
Russia,35.26,13.09,24.87,29.86,34.56,37.41,61.52401,105.318756
Rwanda,31.62,15.9,24.25,27.71,27.99,26.82,-1.940278,29.873888
Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85,23.885942,45.079162
Senegal,50.25,22.97,37.46,42.17,46.22,23.45,14.497401,-14.452362
Serbia,36.21,8.73,23.33,28.18,29.24,37.83,44.016521,21.005859
Seychelles,65.93,32.35,50.19,61.55,77.01,19.43,-4.679574,55.491977
Singapore,83.98,66.43,75.75,77.08,61.17,91.34,1.352083,103.819836
Slovakia,44.68,16.11,31.29,39.74,36.08,54.7,48.669026,19.699024
Slovenia,53.88,17.9,37.01,47.71,46.74,59.48,46.151241,14.995463
Somalia,34.58,5.16,20.79,39.39,26.65,29.4,5.152149,46.199616
South Africa,42.09,16.6,30.14,34.78,41.33,78.36,-30.559482,22.937506
South Korea,73.22,20.02,48.28,91.95,42.1,76.85,35.907757,127.766922
Spain,53.88,21.25,38.58,45.69,53.96,70.04,40.46366700000001,-3.74922
Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27,7.873053999999999,80.77179699999999
Suriname,51.78,9.71,32.06,45.92,79.61,13.44,3.919305,-56.027783
Sweden,71.74,25.86,50.23,65.78,72.61,98.14,60.12816100000001,18.643501
Switzerland,123.35,53.54,90.62,128.13,122.09,118.44,46.818188,8.227511999999999
Syria,28.75,5.17,17.7,29.34,22.81,6.59,34.80207499999999,38.996815
Taiwan,62.35,17.69,41.42,76.19,29.42,58.35,23.69781,120.960515
Tanzania,32.81,12.36,23.23,30.04,24.86,15.97,-6.369028,34.888822
Thailand,43.21,14.69,29.84,45.15,22.59,31.56,15.870032,100.992541
Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47,10.691803,-61.222503
Tunisia,27.87,5.32,17.3,27.36,15.96,27.83,33.886917,9.537499
Turkey,28.31,6.63,18.15,22.64,18.4,32.88,38.963745,35.243322
Uganda,33.5,9.19,22.1,31.0,24.85,11.41,1.373333,32.290275
Ukraine,30.71,10.57,21.27,26.3,25.75,37.22,48.379433,31.16558
United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17,23.424076,53.847818
United Kingdom,69.65,31.84,51.93,56.58,76.79,88.78,55.378051,-3.435973
United States,70.13,42.07,56.98,70.37,70.07,106.34,37.09024,-95.712891
Uruguay,52.07,13.93,34.19,44.01,49.39,30.07,-32.522779,-55.765835
Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37,41.377491,64.585262
Venezuela,43.2,9.99,27.63,37.34,46.23,15.41,6.42375,-66.58973
Vietnam,37.48,13.22,26.11,38.7,19.98,29.38,14.058324,108.277199
Yemen,53.14,6.71,31.38,67.12,24.74,14.41,15.552727,48.516388
Zambia,33.04,9.26,21.9,31.53,22.46,40.33,-13.133897,27.849332
Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07,-19.015438,29.154857
